"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","descriptionLinks/4/text","descriptionLinks/4/url","duration","hasCreatorHeart","hashtags/0","hashtags/1","hashtags/2","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@bbdon2380","false",,,,,"Ugw7vuObH5ovLJNnwot4AaABAg","Just ordered one. Hopefully it will arrive not damaged.",,"6",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/7OR6zFH1pdI","9 months ago","1",,,,,"Unboxing the fully waterproof TRIBIT XSound Plus 2 Bluetooth speaker.","comment",,"7OR6zFH1pdI",,"0"
"@vumphreygaming3374","false",,,,,"UgxpLnIBlHudEnv6PwR4AaABAg","Prolly buying this soon",,"6",,,,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/shorts/7OR6zFH1pdI","11 months ago","1",,,,,"Unboxing the fully waterproof TRIBIT XSound Plus 2 Bluetooth speaker.","comment",,"7OR6zFH1pdI",,"1"
"@SanyamBanoni","false",,,,,"Ugyd_Yc1iIc_1FYHzht4AaABAg","Price?",,"6",,,,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/shorts/7OR6zFH1pdI","8 months ago","1",,,,,"Unboxing the fully waterproof TRIBIT XSound Plus 2 Bluetooth speaker.","comment",,"7OR6zFH1pdI",,"1"
"@TechNuovo","true",,,,,"Ugw7vuObH5ovLJNnwot4AaABAg.A4eb4dXMD9NA4erV96klQJ","Ahh superb!",,"6",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/7OR6zFH1pdI","9 months ago","0","Ugw7vuObH5ovLJNnwot4AaABAg",,,,"Unboxing the fully waterproof TRIBIT XSound Plus 2 Bluetooth speaker.","reply",,"7OR6zFH1pdI",,"0"
,,"UCmcLROMc5KV6fWTexA_JH5A","Tech Room UK","https://www.youtube.com/@techroomuk","techroomuk",,,,"0","false","2024-05-06T15:38:09.000Z","#speaker","https://www.youtube.com/hashtag/speaker","#portablespeaker","https://www.youtube.com/hashtag/portablespeaker","#tribit","https://www.youtube.com/hashtag/tribit","#bluetoothspeaker","https://www.youtube.com/hashtag/bluetoothspeaker","https://amzn.to/3wnOyrf","https://amzn.to/3wnOyrf","00:04:56",,"#tribit","#bluetoothspeaker","#portablespeaker","9H4vjdoqGjc","https://www.youtube.com/watch?v=9H4vjdoqGjc",,"273",,"95400",,,,,,"Best summer speaker? | Tribit XSound Plus 2 | - Unboxing & Test
#speaker #portablespeaker #tribit #bluetoothspeaker 

amazon: https://amzn.to/3wnOyrf
contact: techroomuk@gmail.com","https://i.ytimg.com/vi/9H4vjdoqGjc/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgWyhbMA8=&rs=AOn4CLD39fQQ0XJkKSUqIKkfdiccODml1Q","Best summer speaker? | Tribit XSound Plus 2 | - Unboxing & Test","video","https://www.youtube.com/watch?v=9H4vjdoqGjc",,"2885",
"@SayjuroZuckino","false",,,,,"Ugwl_BU5w6fCAT2-N_t4AaABAg","Klingt schon sehr solide und kann wohl auch mit den teuren Konterparts mithalten. ;-D
Fly on!",,"7",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=_1GcU_-5fkY","9 months ago","0",,,,,"30W Klangwunder mit 24h Akku, IPX7 & App Support: Tribit XSound Plus 2 im Test /moschuss.de","comment",,"_1GcU_-5fkY",,"1"
"@Bastian.mp4","false",,,,,"UgwlN2lFtNgWt-OWWGl4AaABAg","Der hört sich wunderbar an 😮",,"7",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=_1GcU_-5fkY","9 months ago","0",,,,,"30W Klangwunder mit 24h Akku, IPX7 & App Support: Tribit XSound Plus 2 im Test /moschuss.de","comment",,"_1GcU_-5fkY",,"1"
"@ulrichbeck_","false",,,,,"UgxzVWfoARDJmVxU8y14AaABAg","Ist es möglich den Akku zu wechseln? Weis aus leidiger Erfahrung. Das nach 3 4 Jahren der Akku oft hin ist. Oder Kennst du einen Akku Lautsprecher wo der Anbieter einen Akku Tausch ermöglicht? Muss ja beim bauen berücksichtigt werden und die Ersatzteile vorhanden sein. Mir geht es um ökologisches Verwenden von Elektronik.",,"7",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=_1GcU_-5fkY","9 months ago","0",,,,,"30W Klangwunder mit 24h Akku, IPX7 & App Support: Tribit XSound Plus 2 im Test /moschuss.de","comment",,"_1GcU_-5fkY",,"1"
"@ultraläufer","false",,,,,"UgzYQAmuaR-KxdaLYr94AaABAg","Kennst du auch gut ich habe mir so ein Ding bestellt gleich zwei Stück für den Preis",,"7",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=_1GcU_-5fkY","9 months ago","0",,,,,"30W Klangwunder mit 24h Akku, IPX7 & App Support: Tribit XSound Plus 2 im Test /moschuss.de","comment",,"_1GcU_-5fkY",,"2"
"@Social_Media_Eskalation","false",,,,,"Ugxui6szxyjTqaimTjZ4AaABAg","Super-Schuhschrank-Scharnier-Algo-Kommi",,"7",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=_1GcU_-5fkY","9 months ago","0",,,,,"30W Klangwunder mit 24h Akku, IPX7 & App Support: Tribit XSound Plus 2 im Test /moschuss.de","comment",,"_1GcU_-5fkY",,"1"
"@MarkK-ch6ri","false",,,,,"UgzCA5pBG0Vk7kj_UHJ4AaABAg","Meine Schuhe sind mit Wachsmalern ausgestattet..so können Sie bei Bedarf die Sonne malen, wenn ich Unterwegs bin.",,"7",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=_1GcU_-5fkY","9 months ago","0",,,,,"30W Klangwunder mit 24h Akku, IPX7 & App Support: Tribit XSound Plus 2 im Test /moschuss.de","comment",,"_1GcU_-5fkY",,"0"
"@isaacnewton5075","false",,,,,"UgxxQ3f9X2dQ3VioRIp4AaABAg","Einmassiert? Der in der Soundlink mini 2 ist nur geleimt",,"7",,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=_1GcU_-5fkY","9 months ago","0",,,,,"30W Klangwunder mit 24h Akku, IPX7 & App Support: Tribit XSound Plus 2 im Test /moschuss.de","comment",,"_1GcU_-5fkY",,"0"
